entity,added,deleted,commits
src/third_party/libprocess/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/no_ctps/vector40.hpp,2444,0,1
third_party/protobuf-2.4.1/gtest/test/gtest_pred_impl_unittest.cc,2432,2432,2
third_party/protobuf-2.3.0/gtest/test/gtest_pred_impl_unittest.cc,2432,2432,2
third_party/libprocess/third_party/gmock-1.5.0/gtest/test/gtest_pred_impl_unittest.cc,2432,2432,2
src/third_party/gtest-1.4.0-patched/test/gtest_pred_impl_unittest.cc,2432,0,1
src/webui/master/static/{angular-1.0.0rc8.js => angular-1.0.7.js},2429,1405,1
frameworks/hadoop-0.20.0/src/contrib/capacity-scheduler/src/test/org/apache/hadoop/mapred/TestCapacityScheduler.java,2429,0,1
third_party/libprocess/third_party/gmock-1.6.0/gtest/test/gtest_pred_impl_unittest.cc,2427,2427,2
third_party/gmock-1.6.0/gtest/test/gtest_pred_impl_unittest.cc,2427,2427,2
third_party/protobuf-2.4.1/python/google/protobuf/internal/reflection_test.py,2421,2421,2
third_party/libprocess/third_party/glog-0.3.1/src/logging_unittest.cc,2420,2420,4
third_party/gmock-1.5.0/include/gmock/gmock-generated-actions.h,2419,2419,2
third_party/libprocess/third_party/gmock-1.5.0/include/gmock/gmock-generated-actions.h,2419,2419,2
third_party/libprocess/third_party/gmock-1.6.0/include/gmock/gmock-generated-actions.h,2419,2419,2
third_party/gmock-1.6.0/include/gmock/gmock-generated-actions.h,2419,2419,2
src/third_party/libprocess/third_party/boost-1.37.0/boost/unordered/detail/hash_table_impl.hpp,2412,0,1
src/third_party/boost-1.37.0/boost/unordered/detail/hash_table_impl.hpp,2412,0,1
third_party/libprocess/third_party/gmock-1.5.0/test/gmock-spec-builders_test.cc,2384,2384,2
third_party/gmock-1.5.0/test/gmock-spec-builders_test.cc,2384,2384,2
third_party/protobuf-2.4.1/gtest/Makefile.in,2373,2373,2
src/slave/containerizer/mesos/containerizer.cpp,2359,1691,107
frameworks/hadoop-0.20.0/src/contrib/thriftfs/gen-cpp/ThriftHadoopFileSystem.h,2359,0,1
frameworks/hadoop-0.20.2/src/core/org/apache/hadoop/io/file/tfile/TFile.java,2352,2352,2
src/tests/reservation_tests.cpp,2348,305,30
third_party/libprocess/process.cpp,2327,2062,23
src/tests/resource_offers_tests.cpp,2311,1979,64
src/prctl.c,2284,2284,2
3rdparty/libprocess/src/http.cpp,2271,702,54
third_party/protobuf-2.3.0/gtest/Makefile.in,2269,2269,2
src/third_party/gtest-1.4.0-patched/Makefile.in,2264,2264,2
src/tests/cgroups_tests.cpp,2261,1027,57
third_party/protobuf-2.3.0/python/google/protobuf/internal/reflection_test.py,2236,2236,2
src/tests/master_maintenance_tests.cpp,2232,355,32
src/third_party/zookeeper-3.2.2/docs/zookeeperProgrammers.html,2163,0,1
src/scheduler/scheduler.cpp,2160,1418,75
third_party/libprocess/third_party/gmock-1.6.0/gtest/include/gtest/gtest.h,2155,2155,2
third_party/gmock-1.6.0/gtest/include/gtest/gtest.h,2155,2155,2
src/slave/slave.hpp,2129,1530,207
src/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/no_ctps/vector30.hpp,2124,0,1
