entity,fractal-value,total-revs
src/tests/reconciliation_tests.cpp,0.8,25
src/examples/low_level_scheduler_pthread.cpp,0.8,21
src/log/recover.cpp,0.8,20
include/mesos/slave/isolator.hpp,0.8,19
src/tests/module.cpp,0.8,17
src/tests/disk_quota_tests.cpp,0.8,17
src/slave/containerizer/mesos/provisioner/docker/puller.cpp,0.8,17
3rdparty/libprocess/src/help.cpp,0.8,13
include/mesos/authorizer/authorizer.proto,0.8,13
3rdparty/libprocess/src/tests/statistics_tests.cpp,0.8,13
src/authorizer/local/authorizer.hpp,0.8,10
src/common/factory.hpp,0.8,10
3rdparty/libprocess/3rdparty/stout/include/stout/multihashmap.hpp,0.8,5
3rdparty/libprocess/include/process/check.hpp,0.8,5
3rdparty/libprocess/3rdparty/stout/include/stout/os/sunos.hpp,0.8,5
3rdparty/libprocess/3rdparty/stout/include/stout/os/windows/signals.hpp,0.8,5
3rdparty/libprocess/3rdparty/stout/include/stout/gzip.hpp,0.8,5
.gitignore-template,0.8,5
3rdparty/libprocess/3rdparty/stout/include/stout/mac.hpp,0.8,5
3rdparty/libprocess/src/tests/time_tests.cpp,0.8,5
3rdparty/libprocess/3rdparty/stout/tests/base64_tests.cpp,0.8,5
src/jvm/java/net.hpp,0.8,5
include/mesos/scheduler/scheduler.hpp,0.8,5
3rdparty/libprocess/include/process/timeseries.hpp,0.8,5
3rdparty/libprocess/src/latch.cpp,0.8,5
src/internal/evolve.cpp,0.8,5
3rdparty/libprocess/src/config.hpp,0.8,5
3rdparty/libprocess/src/test-master.cpp,0.8,5
docs/deploy-scripts.md,0.8,5
3rdparty/libprocess/src/test-slave.cpp,0.8,5
3rdparty/libprocess/3rdparty/stout/include/stout/os/open.hpp,0.8,5
3rdparty/libprocess/3rdparty/stout/tests/multimap_tests.cpp,0.8,5
3rdparty/libprocess/3rdparty/stout/tests/cache_tests.cpp,0.8,5
3rdparty/libprocess/include/process/latch.hpp,0.8,5
docs/ssl.md,0.8,5
3rdparty/libprocess/3rdparty/stout/include/stout/tests/utils.hpp,0.8,5
src/internal/evolve.hpp,0.8,5
3rdparty/libprocess/3rdparty/stout/tests/set_tests.cpp,0.8,5
docs/effective-code-reviewing.md,0.8,5
3rdparty/libprocess/src/httpd.cpp,0.8,5
src/tests/containerizer/fs_tests.cpp,0.8,5
src/master/main.cpp,0.79,97
src/tests/gc_tests.cpp,0.79,61
src/tests/cgroups_tests.cpp,0.79,57
src/files/files.cpp,0.79,38
src/slave/containerizer/isolators/network/port_mapping.hpp,0.79,38
src/tests/master_maintenance_tests.cpp,0.79,32
src/tests/isolator.hpp,0.79,21
src/slave/containerizer/mesos/provisioner/docker/registry_puller.cpp,0.79,19
3rdparty/libprocess/README.md,0.79,15
LICENSE,0.79,15
src/tests/containerizer/mesos_containerizer_tests.cpp,0.79,14
src/master/drf_sorter.cpp,0.79,13
src/common/attributes.cpp,0.79,13
3rdparty/libprocess/include/process/executor.hpp,0.79,11
3rdparty/libprocess/3rdparty/stout/include/stout/os/sysctl.hpp,0.79,11
docs/clang-format.md,0.79,9
docs/docker-containerizer.md,0.79,9
src/linux/routing/filter/icmp.hpp,0.79,9
docs/c++-style-guide.md,0.79,9
3rdparty/libprocess/include/process/metrics/gauge.hpp,0.79,9
src/common/build.cpp,0.79,9
src/slave/containerizer/provisioner.cpp,0.79,9
src/tests/external_containerizer_test.cpp,0.79,9
docs/quota.md,0.79,9
configure.ac,0.78,189
src/exec/exec.cpp,0.78,80
src/tests/resource_offers_tests.cpp,0.78,64
src/webui/master/static/slave.html,0.78,29
src/slave/containerizer/isolators/cgroups/perf_event.cpp,0.78,26
src/common/values.cpp,0.78,25
src/webui/master/static/slave_framework.html,0.78,21
src/authorizer/local/authorizer.cpp,0.78,12
3rdparty/libprocess/3rdparty/stout/include/stout/os/linux.hpp,0.78,12
src/tests/persistent_volume_endpoints_tests.cpp,0.78,12
src/java/mesos.pom.in,0.78,11
src/webui/master/static/browse.html,0.78,10
src/slave/containerizer/mesos/provisioner/docker/puller.hpp,0.78,10
src/messages/log.hpp,0.78,8
3rdparty/libprocess/src/tests/timeseries_tests.cpp,0.78,8
3rdparty/libprocess/3rdparty/stout/include/stout/os/sendfile.hpp,0.78,8
3rdparty/libprocess/include/process/gtest.hpp,0.78,8
src/python/native/src/mesos/native/mesos_scheduler_driver_impl.cpp,0.78,7
src/authentication/cram_md5/auxprop.cpp,0.78,7
docs/mesos-provisioner.md,0.78,7
src/common/lock.cpp,0.78,7
docs/authentication.md,0.78,7
src/linux/perf.hpp,0.78,7
src/tests/no_executor_framework_test.sh,0.78,7
src/state/log.hpp,0.78,7
3rdparty/libprocess/3rdparty/versions.am,0.78,7
src/slave/containerizer/composing.hpp,0.78,6
3rdparty/libprocess/src/tests/mutex_tests.cpp,0.78,6
src/internal/devolve.cpp,0.78,6
src/jvm/org/apache/zookeeper.hpp,0.78,6
src/log/tool/replica.cpp,0.78,6
3rdparty/libprocess/src/tests/queue_tests.cpp,0.78,6
src/linux/routing/filter/basic.hpp,0.78,6
3rdparty/libprocess/3rdparty/stout/include/stout/bytes.hpp,0.78,6
support/cpplint.py,0.78,6
src/log/tool/replica.hpp,0.78,6
src/python/native/ext_modules.py.in,0.78,6
src/usage/usage.hpp,0.78,6
